name,latitude,longitude,average_cost_for_two,price_range,aggregate_rating,votes,cuisines,highlights,all_reviews_count,photo_count
Caesars Cafe,18.5408686844,73.8875191659,800,2,0,0,"Bengali, North Indian, South Indian, Chinese","['Dinner', 'Cash', 'Credit Card', 'Debit Card', 'Lunch', 'Takeaway Available', 'Breakfast', 'Indoor Seating', 'Air Conditioned']",0,0
Hug My Mug- Helly And Chilly Premium Cafe,18.5409761259,73.8875081018,350,1,3.4,175,"Cafe, Fast Food","['Dinner', 'Delivery', 'Debit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'Indoor Seating', 'Air Conditioned', 'Pure Veg', 'Digital Payments Accepted', 'Desserts and Bakes']",82,239
Ruen Thai,18.5409526032,73.8876599818,1300,3,3.9,177,"Asian, Thai, Sushi, Beverages","['Credit Card', 'Lunch', 'Takeaway Available', 'Dinner', 'Cash', 'Debit Card', 'Delivery', 'Table booking recommended', 'Air Conditioned', 'Outdoor Seating', 'Indoor Seating', 'Digital Payments Accepted']",85,144
Raju Thali,18.5410419259,73.8874916732,200,1,3.6,5,North Indian,"['Dinner', 'Cash', 'Delivery', 'Takeaway Available', 'Lunch', 'Pure Veg', 'Indoor Seating']",1,1
Raasta Cafe,18.5196778687,73.8708257675,1400,3,3.9,656,"Continental, Italian, Asian, North Indian","['Dinner', 'Delivery', 'Credit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Indoor Seating', 'LGBTQIA Friendly', 'Smoking Area', 'Wine', 'Live Entertainment', 'Nightlife', 'Fullbar', 'Table booking recommended', 'Wifi', 'Beer', 'Live Sports Screening', 'Valet Parking Available', 'Outdoor Seating']",355,751
Cinnamon Restaurant,18.5197179258,73.8707815111,1000,3,3.8,138,"North Indian, Chinese, Continental, Kebab","['Dinner', 'Delivery', 'Credit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Valet Parking Available', 'Indoor Seating', 'Air Conditioned', 'Live Music', 'Wine', 'Fullbar', 'Table booking recommended', 'Beer']",43,41
Hotel Trishna,18.5225203117,73.8701706380,550,2,3.6,22,"North Indian, Chinese, Maharashtrian","['Dinner', 'Debit Card', 'Cash', 'Takeaway Available', 'Lunch', 'Credit Card', 'Delivery', 'Free Parking', 'Air Conditioned', 'Digital Payments Accepted', 'Indoor Seating', 'Fullbar']",8,4
Murthy's Confectionery & Bakery,18.5220011664,73.8695409894,200,1,0,25,"Bakery, Street Food","['No Seating Available', 'Delivery', 'Cash', 'Takeaway Available', 'Desserts and Bakes']",1,1
Ashok Restaurant,18.5201582357,73.8690913841,500,2,2.9,5,"North Indian, Chinese","['Dinner', 'Credit Card', 'Lunch', 'Cash', 'Debit Card', 'Fullbar', 'Indoor Seating', 'Outdoor Seating']",3,4
Dario's,18.5374559517,73.8889159262,1600,3,4.1,5255,"Italian, Continental, Mexican, Salad, Healthy Food, Beverages","['Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Dinner', 'Delivery', 'Credit Card', 'Breakfast', 'Valet Parking Available', 'Indoor Seating', 'Table booking recommended', 'Smoking Area', 'Vegan Options', 'All Day Breakfast', 'Outdoor Seating', 'Romantic Dining', 'Air Conditioned', 'Pet Friendly', 'Pure Veg']",1763,1751
Santè Spa Cuisine,18.5374721636,73.8887767866,1300,3,4.4,1483,"Salad, Continental, Healthy Food, Mediterranean, Pizza","['Lunch', 'Breakfast', 'Dinner', 'Credit Card', 'Debit Card', 'Cash', 'Delivery', 'Takeaway Available', 'Indoor Seating', 'Outdoor Seating', 'Pure Veg', 'Valet Parking Available', 'Air Conditioned', 'Table booking recommended']",866,3027
Number 19,18.5375099914,73.8886212185,600,2,3.8,9,"Asian, Continental, Beverages","['Delivery', 'Credit Card', 'Debit Card', 'Lunch', 'Takeaway Available', 'Dinner', 'Cash', 'Outdoor Seating', 'Air Conditioned', 'All Day Breakfast', 'Desserts and Bakes', 'Indoor Seating']",6,20
Holy Smokes!!!,18.5411509566,73.8876140490,700,2,3.7,358,"Continental, North Indian, Fast Food, Beverages","['Cash', 'Takeaway Available', 'Lunch', 'Credit Card', 'Delivery', 'Breakfast', 'Dinner', 'Debit Card', 'Indoor Seating', 'Wifi', 'Table booking recommended', 'Smoking Area']",190,241
Yogi Tree,18.5414249636,73.8876549527,1000,3,4.0,851,"North Indian, Italian, Continental, Cafe","['Cash', 'Delivery', 'Breakfast', 'Dinner', 'Credit Card', 'Takeaway Available', 'Lunch', 'Debit Card', 'Outdoor Seating', 'Air Conditioned', 'Indoor Seating', 'Smoking Area']",189,227
Cinnamon Restaurant - Park Central,18.5412981321,73.8874785975,1000,3,3.6,21,"North Indian, American, Continental, Street Food, Beverages","['Breakfast', 'Debit Card', 'Lunch', 'Takeaway Available', 'Delivery', 'Dinner', 'Cash', 'Credit Card', 'Indoor Seating', 'Table booking recommended', 'Free Parking', 'Buffet', 'Outdoor Seating']",3,17
Aapki Rasoi,18.5417523728,73.8872871548,400,1,3.6,60,"North Indian, Fast Food","['Dinner', 'Cash', 'Takeaway Available', 'Lunch', 'Delivery', 'Breakfast', 'Indoor Seating']",0,2
Gurdjieff's Resto Bar,18.5418347018,73.8868147507,1300,3,3.0,54,"North Indian, Chinese, Beverages","['Takeaway Available', 'Debit Card', 'Dinner', 'Cash', 'Delivery', 'Credit Card', 'Fullbar', 'Indoor Seating', 'Air Conditioned', 'LGBTQIA Friendly', 'Smoking Area', 'Outdoor Seating', 'Axis Bank - Dining Delights']",16,2
Gurdjieff's Resto,18.5417838421,73.8867788762,700,2,2.9,9,"North Indian, Chinese","['Dinner', 'Credit Card', 'Lunch', 'Cash', 'Delivery', 'Debit Card', 'Fullbar', 'Indoor Seating', 'Smoking Area', 'Outdoor Seating']",1,9
Truffle Waffle,18.5417739881,73.8867718354,500,2,3.5,89,"Burger, Fast Food, Desserts, Beverages","['Dinner', 'Delivery', 'Lunch', 'Cash', 'Takeaway Available', 'Indoor Seating']",4,67
The Dark Horse,18.5417994179,73.8867718354,1400,3,3.1,69,"North Indian, Chinese, Mughlai, Beverages","['Lunch', 'Delivery', 'Credit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Fullbar', 'Air Conditioned', 'Smoking Area', 'Indoor Seating', 'Wifi']",25,35
Classic Fries And Burger,18.5418029145,73.8867316023,200,1,3.4,126,"Burger, Fast Food","['Debit Card', 'Delivery', 'Credit Card', 'Cash', 'Takeaway Available', 'Pure Veg', 'Indoor Seating', 'Digital Payments Accepted']",6,32
Spicy Caterers,18.5417135923,73.8864348829,200,1,0,14,Biryani,"['Dinner', 'Delivery', 'Lunch', 'Cash', 'Takeaway Available', 'Indoor Seating']",0,0
Street Treat,18.5417460153,73.8864157721,200,1,0,1,Street Food,"['No Alcohol Available', 'Lunch', 'Cash', 'No Seating Available', 'Dinner', 'Takeaway Available']",0,1
Cafe Basement,18.5417364791,73.8863812387,200,1,0,2,Fast Food,"['Delivery', 'Dinner', 'Cash', 'Takeaway Available', 'Lunch', 'Indoor Seating']",0,0
Cafe Coffee Day,18.5135003756,73.8793551922,600,2,3.6,262,"Cafe, Fast Food, Desserts, Beverages, Sandwich","['Credit Card', 'Debit Card', 'Delivery', 'Cash', 'Takeaway Available', 'Breakfast', 'Desserts and Bakes', 'Indoor Seating']",31,89
Akhtar's Samosa,18.5135570000,73.8793250000,150,1,3.4,17,"Street Food, Beverages","['Lunch', 'Cash', 'Takeaway Available', 'Dinner', 'Delivery', 'Outdoor Seating', 'Indoor Seating', 'Digital Payments Accepted']",5,12
BADSHAH SWEETS,18.5131334895,73.8788985461,500,2,0,2,"Mithai, Street Food","['Delivery', 'Debit Card', 'Cash', 'Takeaway Available', 'Credit Card', 'No Seating Available', 'Digital Payments Accepted', 'Pure Veg']",0,0
Cafe Ziyon,18.5134749415,73.8787815347,300,1,3.4,40,"Chinese, Fast Food","['Takeaway Available', 'Dinner', 'Cash', 'Lunch', 'Delivery', 'Indoor Seating', 'Digital Payments Accepted']",18,25
The Good Bowl,18.5126572358,73.8792995363,500,2,4.0,1517,"Asian, Biryani, North Indian","['Cash', 'Delivery']",47,93
A-1 Sandwizza,18.5126047779,73.8794031367,300,1,0,3,Sandwich,"['Dinner', 'Cash', 'Takeaway Available', 'Lunch', 'Delivery', 'Indoor Seating', 'Digital Payments Accepted']",0,1
Mandarin Oak,18.5126407036,73.8793126121,400,1,4.2,401,"Thai, Asian, Chinese","['Delivery', 'Cash', 'Digital Payments Accepted']",53,113
Sharayu Restaurant,18.5171412163,73.8775604591,700,2,3.5,43,"Maharashtrian, North Indian","['Dinner', 'Credit Card', 'Takeaway Available', 'Delivery', 'Cash', 'Lunch', 'Debit Card', 'Indoor Seating', 'Digital Payments Accepted', 'Air Conditioned']",17,34
J M Cafe,18.5171552047,73.8776134327,400,1,3.3,16,"Fast Food, Chinese, North Indian","['Lunch', 'Cash', 'Breakfast', 'Dinner', 'Takeaway Available', 'Free Parking', 'Indoor Seating']",4,4
Garden Seekh Kebab,18.5172553490,73.8780855015,200,1,3.8,19,Mughlai,"['Cash', 'Dinner', 'Takeaway Available', 'Indoor Seating']",9,9
Bakhtar Caterers - Biryani House,18.5161645680,73.8769821078,250,1,3.5,5,Biryani,"['Cash', 'Lunch', 'Dinner', 'Takeaway Available', 'Free Parking', 'Indoor Seating']",1,2
Roteee,18.5175042788,73.8784841448,300,1,3.2,45,"North Indian, Fast Food, Sandwich","['Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Lunch', 'Delivery', 'Credit Card', 'Outdoor Seating', 'Digital Payments Accepted']",1,0
Delhi Chaap Express,18.5175103192,73.8785817102,150,1,2.9,25,"Pizza, Sandwich, Fast Food","['Cash', 'Dinner', 'Takeaway Available', 'Outdoor Seating', 'Sodexo', 'Pure Veg']",13,20
Clover Sandwich And Pizza,18.5176076020,73.8786135614,300,1,0,18,"Sandwich, Italian","['Dinner', 'Cash', 'Takeaway Available', 'Lunch', 'Delivery', 'Indoor Seating', 'Digital Payments Accepted']",1,1
Degchi's,18.5159172259,73.8779520616,450,1,0,0,"Biryani, Bohri","['Dinner', 'Cash', 'Takeaway Available', 'Lunch', 'Delivery', 'Indoor Seating', 'Digital Payments Accepted']",0,0
Pune Darbar,18.5159150005,73.8779946417,500,2,2.9,27,"Chinese, North Indian, Fast Food, Mughlai","['Dinner', 'Delivery', 'Lunch', 'Cash', 'Takeaway Available', 'Indoor Seating']",7,9
Garden Vada Pav Centre,18.5168363322,73.8757278398,100,1,4.1,7753,Street Food,"['Standing Tables', 'Delivery', 'Cash', 'Takeaway Available', 'Breakfast', 'Pure Veg', 'Digital Payments Accepted']",1053,314
Royal Connaught Boat Club,18.5415057034,73.8801756129,600,2,3.7,42,"North Indian, Chinese, Malwani, Seafood","['Lunch', 'Delivery', 'Credit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Outdoor Seating', 'Members Only', 'Indoor Seating']",14,14
Sai Shivneri,18.5442196800,73.8780509700,600,2,3.5,19,"North Indian, Chinese","['Dinner', 'Cash', 'Credit Card', 'Lunch', 'Takeaway Available', 'Debit Card', 'Indoor Seating', 'Digital Payments Accepted']",11,1
Reddy's Family Resto And Bar,18.5446800000,73.8780170000,750,2,3.6,23,"North Indian, Chinese, Mughlai","['Dinner', 'Delivery', 'Credit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Indoor Seating']",2,5
Reddy's Fast Food,18.5448760790,73.8782169297,300,1,3.3,316,"North Indian, Chinese","['Lunch', 'Debit Card', 'Cash', 'Takeaway Available', 'Dinner', 'Credit Card', 'Delivery', 'Outdoor Seating', 'Indoor Seating', 'Air Conditioned', 'Digital Payments Accepted']",39,12
J K Delicacies,18.5152321054,73.8784227893,350,1,0,5,"Biryani, Street Food","['Dinner', 'Lunch', 'Delivery', 'Cash', 'Takeaway Available', 'Indoor Seating', 'Digital Payments Accepted']",0,0
Saoji Khamang,18.5397637497,73.8912001625,400,1,4.0,772,Maharashtrian,"['Takeaway Available', 'Lunch', 'Cash', 'Dinner', 'Delivery', 'Outdoor Seating', 'Indoor Seating']",183,155
Jiffy By Grillicious,18.5396194338,73.8925633952,400,1,3.2,189,"American, North Indian, Mexican, Lebanese, Fast Food","['Dinner', 'Delivery', 'Credit Card', 'Debit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Breakfast', 'Indoor Seating']",88,82
Shatranj Wine & Dine,18.5380001068,73.8945693970,1500,3,3.7,337,"North Indian, Chinese, Italian, Continental, Thai","['Dinner', 'Cash', 'Takeaway Available', 'Lunch', 'Delivery', 'Credit Card', 'Debit Card', 'Free Parking', 'Live Entertainment', 'Fullbar', 'Live Music', 'Wifi', 'Buffet', 'Karaoke', 'Live Sports Screening', 'Outdoor Seating', 'Table Reservation Not Required', 'Smoking Area']",177,190
Cafe Weekend,18.5397732860,73.8927940652,500,2,3.6,35,Fast Food,"['Dinner', 'Delivery', 'Credit Card', 'Debit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Breakfast', 'Indoor Seating', 'Air Conditioned']",1,0
Green Villa Restaurant,18.5401728561,73.8914244622,450,1,3.1,92,"Chinese, Fast Food","['Cash', 'Debit Card', 'Delivery', 'Breakfast', 'Dinner', 'Credit Card', 'Takeaway Available', 'Lunch', 'Indoor Seating', 'Outdoor Seating', 'Smoking Area', 'Digital Payments Accepted']",41,11
R&J Book cafe,18.5398015770,73.8927920535,500,2,3.8,123,"Cafe, Italian, Fast Food","['Cash', 'Takeaway Available', 'Dinner', 'Delivery', 'Breakfast', 'Lunch', 'Indoor Seating', 'Digital Payments Accepted']",36,8
Buddha Paradise,18.5403270257,73.8912544772,300,1,3.3,498,"South Indian, Fast Food, Chinese","['Takeaway Available', 'Lunch', 'Cash', 'Breakfast', 'Dinner', 'Delivery', 'Outdoor Seating', 'Indoor Seating']",140,131
Prem's,18.5396334204,73.8935112208,1300,3,4.3,7310,"North Indian, Chinese, Continental, Salad","['Lunch', 'Cash', 'Takeaway Available', 'Dinner', 'Delivery', 'Credit Card', 'Valet Parking Available', 'Outdoor Seating', 'Table booking recommended', 'Wifi', 'All Day Breakfast', 'Fullbar', 'Indoor Seating', 'Axis Bank - Dining Delights', 'Smoking Area']",1300,1419
Swig,18.5397586637,73.8935014978,1400,3,4.0,1462,"Finger Food, Salad, Continental, Italian, Sandwich","['Delivery', 'Credit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Dinner', 'Table booking recommended', 'LGBTQIA Friendly', 'Smoking Area', 'Live Music', 'Wine', 'Serves Cocktails', 'Nightlife', 'Live Sports Screening', 'Outdoor Seating', 'Air Conditioned', 'Wifi', 'DJ', 'Beer', 'Live Entertainment', 'Digital Payments Accepted', 'Fullbar', 'Indoor Seating']",756,697
Sweet Chariot Cafe,18.5397186113,73.8939574733,700,2,3.6,686,"Cafe, Italian, Fast Food","['Lunch', 'Cash', 'Delivery', 'Credit Card', 'Breakfast', 'No Alcohol Available', 'Dinner', 'Takeaway Available', 'Debit Card', 'Outdoor Seating', 'Digital Payments Accepted', 'Desserts and Bakes', 'Air Conditioned', 'Smoking Area', 'All Day Breakfast']",301,336
Garden Bar,18.5408089241,73.8911636174,500,2,0,10,Salad,"['Lunch', 'Cash', 'Dinner', 'Delivery']",9,10
Dilkhush Chinese Fast Food,18.5151300524,73.8769864663,200,1,4.0,3568,Chinese,"['Dinner', 'Cash', 'Takeaway Available', 'Lunch', 'Delivery', 'Indoor Seating', 'Digital Payments Accepted']",33,4
Dorabjee & Sons,18.5154840000,73.8770200000,600,2,4.0,1195,"Parsi, Biryani","['Dinner', 'Cash', 'Takeaway Available', 'Lunch', 'Delivery', 'Indoor Seating']",547,556
Cafe Yezdan,18.5149170444,73.8768761605,150,1,4.1,228,"Fast Food, Street Food, Tea","['Cash', 'Takeaway Available', 'Lunch', 'Breakfast', 'Dinner', 'Indoor Seating']",130,176
Dilkhush Corner,18.5149000000,73.8768990000,300,1,0,0,"Fast Food, Seafood","['Dinner', 'Cash', 'Lunch', 'Takeaway Available', 'Indoor Seating', 'Digital Payments Accepted']",0,0
Great Poona Cold Drink House,18.5144967503,73.8772389293,200,1,4.0,535,"Ice Cream, Desserts, Beverages","['Delivery', 'Cash', 'Takeaway Available', 'Indoor Seating', 'Desserts and Bakes']",42,61
Regal Sweets,18.5144970682,73.8773214072,150,1,3.1,16,Mithai,"['No Seating Available', 'Takeaway Available', 'Cash', 'Desserts and Bakes']",3,2
Hotel Sahil,18.5143460000,73.8768890000,500,2,0,2,"North Indian, Chinese","['Dinner', 'Takeaway Available', 'Lunch', 'Cash', 'Breakfast', 'Indoor Seating']",1,0
Haji Juice And Bites,18.5151993594,73.8779554144,200,1,0,1,"Beverages, Juices","['Cash', 'Takeaway Available', 'Delivery', 'Outdoor Seating', 'Digital Payments Accepted', 'Indoor Seating']",1,0
Wong's Kitchen,18.5152620000,73.8779570000,500,2,0,4,"Chinese, Seafood","['Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Lunch', 'Delivery', 'Credit Card', 'Indoor Seating', 'Air Conditioned']",0,0
Cafe Navruz,18.5152640000,73.8779570000,600,2,0,1,"Iranian, Mughlai, North Indian","['Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Lunch', 'Delivery', 'Credit Card', 'Indoor Seating', 'Air Conditioned']",0,0
Cakes 'N' Coffee,18.5151583475,73.8779748604,400,1,3.8,790,Bakery,"['Delivery', 'Credit Card', 'Cash', 'Takeaway Available', 'Debit Card', 'Indoor Seating', 'Desserts and Bakes']",40,20
Husseny Bakery,18.5151217864,73.8779859245,150,1,4.1,449,"Bakery, Desserts","['Takeaway Available', 'No Seating Available', 'Cash', 'Debit Card', 'Delivery', 'Credit Card', 'Desserts and Bakes']",12,9
Ya Khwaja Garib Nawaz Hotel,18.5148776220,73.8779450208,500,2,3.5,17,"North Indian, Mughlai, Chinese","['Dinner', 'Delivery', 'Lunch', 'Cash', 'Takeaway Available', 'Indoor Seating']",8,23
Nawabi Zaika,18.5141912256,73.8774330541,1000,3,0,9,"North Indian, Chinese, Maharashtrian, Beverages","['Cash', 'Takeaway Available', 'Dinner', 'Delivery', 'Lunch']",1,2
Pizza Corner,18.5144493797,73.8778635487,300,1,3.6,31,Fast Food,"['Dinner', 'Cash', 'Takeaway Available', 'Lunch', 'Delivery', 'Breakfast', 'Indoor Seating']",1,0
Cafe 52,18.5153268461,73.8738740981,300,1,3.3,1042,"Fast Food, Lebanese, Parsi, Chinese, Rolls","['Lunch', 'Delivery', 'Credit Card', 'Debit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Free Parking', 'Indoor Seating']",76,21
Puzzles,18.5153344762,73.8738700747,400,1,0,2,"North Indian, South Indian, Maharashtrian","['Lunch', 'Delivery', 'Credit Card', 'Debit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Breakfast', 'Digital Payments Accepted']",0,0
Hite Bar,18.5153637250,73.8738667220,300,1,4.0,2617,"Burger, Lebanese, Rolls","['Lunch', 'Cash', 'Takeaway Available', 'Dinner', 'Delivery', 'Breakfast', 'Free Parking', 'Indoor Seating']",252,14
Hot Bean Cafe,18.5165454361,73.8743149862,200,1,0,2,"Fast Food, Beverages","['Dinner', 'Delivery', 'Breakfast', 'Lunch', 'Cash', 'Takeaway Available', 'Indoor Seating', 'Digital Payments Accepted']",2,0
Red Hot Chinese Center,18.5165762743,73.8732927293,250,1,4.0,59,Chinese,"['No Seating Available', 'Dinner', 'Delivery', 'Lunch', 'Cash', 'Takeaway Available']",31,1
Majestic Restaurant,18.5167714767,73.8749258593,200,1,3.1,5,"North Indian, Fast Food","['Dinner', 'Takeaway Available', 'Lunch', 'Cash', 'Breakfast', 'Indoor Seating']",2,3
Foodies,18.5167511299,73.8749704510,400,1,2.9,1410,"Fast Food, Sandwich, Italian","['No Seating Available', 'Dinner', 'Cash', 'Takeaway Available', 'Lunch', 'Delivery', 'Digital Payments Accepted', 'Pure Veg']",131,23
Raibhan,18.5164262162,73.8721665367,350,1,3.7,45,Maharashtrian,"['Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Lunch', 'Delivery', 'Credit Card', 'Indoor Seating', 'Digital Payments Accepted']",3,3
Cafe Blitz,18.5163346553,73.8717883453,100,1,0,1,"South Indian, Street Food","['Takeaway Available', 'Lunch', 'Cash', 'Breakfast', 'Indoor Seating']",0,0
PGI Restaurant,18.5154358933,73.8711261749,600,2,3.7,74,"North Indian, Chinese, Seafood","['Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Lunch', 'Delivery', 'Credit Card', 'Fullbar', 'Indoor Seating', 'Outdoor Seating', 'Air Conditioned']",35,38
The Cake Studio,18.5141597512,73.8712358102,350,1,3.9,179,"Desserts, Bakery","['No Seating Available', 'Cash', 'Takeaway Available', 'Credit Card', 'Delivery', 'Debit Card', 'Desserts and Bakes', 'Air Conditioned', 'Pure Veg']",65,281
Chow Singh,18.5125084460,73.8802044466,350,1,0,3,"North Indian, Chinese","['Lunch', 'Delivery', 'Dinner', 'Cash', 'Takeaway Available', 'Digital Payments Accepted']",0,0
11 East Street Cafe,18.5124900063,73.8801752776,1600,3,4.1,5119,"Cafe, Cuisine Varies, Continental, Mughlai, Goan, Chinese, Seafood","['Dinner', 'Delivery', 'Credit Card', 'Debit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Live Sports Screening', 'Fullbar', 'Indoor Seating', 'Air Conditioned', 'LGBTQIA Friendly', 'Smoking Area', 'Nightlife', 'Outdoor Seating', 'Table booking recommended', 'Axis Bank - Dining Delights', 'Wifi', 'Buffet']",2017,2466
Tim Luck Luck,18.5126543745,73.8806567341,1000,3,4.1,1154,"North Indian, Chinese, Seafood","['Takeaway Available', 'Debit Card', 'Dinner', 'Cash', 'Delivery', 'Credit Card', 'Lunch', 'Smoking Area', 'Live Sports Screening', 'Outdoor Seating', 'Indoor Seating', 'Air Conditioned', 'Fullbar', 'Live Music', 'Digital Payments Accepted']",503,519
Sheetal Arch Restaurant,18.5126667736,73.8806574047,800,2,3.9,813,"North Indian, South Indian, Chinese, Street Food","['Dinner', 'Cash', 'Delivery', 'Debit Card', 'Lunch', 'Takeaway Available', 'Credit Card', 'Fullbar', 'Indoor Seating', 'Pure Veg', 'Outdoor Seating', 'Table booking recommended', 'Wifi', 'Desserts and Bakes']",106,79
Sweet Truth,18.5125707597,73.8794108480,300,1,4.2,298,"Bakery, Desserts, Ice Cream","['Delivery', 'Debit Card', 'Cash', 'Credit Card', 'Card Upon Delivery', 'Desserts and Bakes']",43,73
Ovenstory Pizza,18.5125682163,73.8794034719,600,2,4.1,895,Pizza,"['Lunch', 'Cash', 'Credit Card', 'Dinner', 'Delivery', 'Debit Card']",64,70
Behrouz Biryani,18.5125720314,73.8793967664,700,2,4.1,1613,"Biryani, North Indian, Mughlai","['Lunch', 'Cash', 'Credit Card', 'Dinner', 'Delivery', 'Debit Card']",155,120
Faasos,18.5126066855,73.8793870434,550,2,4.2,2113,"Wraps, North Indian, Biryani, Fast Food","['No Seating Available', 'Dinner', 'Delivery', 'Lunch', 'Cash']",92,63
Firangi Bake,18.5125850664,73.8793786615,400,1,3.8,406,"Mexican, Italian, Modern Indian","['Lunch', 'Cash', 'Credit Card', 'Dinner', 'Delivery', 'Debit Card']",52,34
The Biryani Life,18.5125850664,73.8793783262,350,1,3.9,85,"Biryani, North Indian","['Lunch', 'Cash', 'Delivery', 'Dinner']",4,20
Sardarji's Tandoor,18.5111569328,73.8804411516,400,1,3.5,17,North Indian,"['No Seating Available', 'Cash', 'Dinner', 'Takeaway Available']",12,4
What' A Sandwich!,18.5111531177,73.8800780475,300,1,4.1,473,"Sandwich, American, Fast Food","['Dinner', 'Delivery', 'Lunch', 'Cash', 'Takeaway Available', 'Indoor Seating', 'Digital Payments Accepted']",145,163
Bikaner Sev Bhandar,18.5118328497,73.8788834587,150,1,3.5,10,"Mithai, Street Food","['Cash', 'No Alcohol Available', 'Takeaway Available', 'No Seating Available', 'Pure Veg', 'Desserts and Bakes']",7,20
Aika Delicacies - Diabetic Indulgence,18.5416137802,73.8860077411,400,1,3.9,57,"Desserts, Bakery","['No Seating Available', 'Takeaway Available', 'Cash', 'Desserts and Bakes']",35,24
Radio Hotel,18.5139426090,73.8773019612,450,1,4.0,2150,"North Indian, Chinese, Mughlai","['Dinner', 'Delivery', 'Lunch', 'Cash', 'Takeaway Available', 'Indoor Seating']",182,125
Bismillah Hotel,18.5137814212,73.8768171519,400,1,3.7,306,"North Indian, Mughlai","['Dinner', 'Cash', 'Takeaway Available', 'Lunch', 'Delivery', 'Breakfast', 'Indoor Seating', 'Digital Payments Accepted']",7,19
Bhavnagri Fancy Sweet Mart,18.5140052400,73.8778950647,300,1,4.4,216,"Mithai, Street Food","['No Seating Available', 'Delivery', 'Debit Card', 'Cash', 'Takeaway Available', 'Credit Card', 'Digital Payments Accepted', 'Pure Veg', 'Desserts and Bakes']",3,24
Shree Krishna Pizza,18.5142624406,73.8777817413,350,1,3.8,1049,"Fast Food, Italian, Beverages","['Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Lunch', 'Delivery', 'Indoor Seating', 'Digital Payments Accepted', 'Pure Veg']",70,103
Shree Krishna Sandwiches Fries And Shakes,18.5142869207,73.8777874410,400,1,3.6,49,"Sandwich, Fast Food, Beverages","['Dinner', 'Lunch', 'Delivery', 'Cash', 'Takeaway Available', 'Indoor Seating', 'Air Conditioned']",4,7
Jannat Restaurant,18.5133337827,73.8771872967,500,2,0,2,"North Indian, Mughlai, Chinese","['Dinner', 'Cash', 'Takeaway Available', 'Lunch', 'Delivery', 'Indoor Seating', 'Digital Payments Accepted']",2,0
Al Nayaab,18.5133337827,73.8771872967,500,2,3.7,4851,"North Indian, Mughlai, Naga, Chinese","['Dinner', 'Delivery', 'Lunch', 'Cash', 'Takeaway Available', 'Indoor Seating']",106,6
Mr. Gelato,18.5142735679,73.8778135926,150,1,3.3,62,"Desserts, Fast Food","['Cash', 'Takeaway Available', 'Debit Card', 'Delivery', 'Credit Card', 'Indoor Seating', 'Digital Payments Accepted', 'Desserts and Bakes']",3,25
Shree Krishna Juice And Milkshake,18.5143300000,73.8778330000,150,1,0,0,"Juices, Beverages, Ice Cream","['Cash', 'Takeaway Available', 'Standing Tables', 'Delivery', 'Desserts and Bakes']",0,1
Gulzar Restaurant,18.5135159539,73.8765744120,150,1,3.3,12,"Street Food, Fast Food","['Dinner', 'Takeaway Available', 'Lunch', 'Cash', 'Breakfast', 'Indoor Seating']",4,3
Springold - The Luxury Cafe,18.5349023972,73.8773854449,500,2,3.6,19,"Continental, Chinese, Cafe, Beverages","['Dinner', 'Delivery', 'Debit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'Indoor Seating', 'Air Conditioned', 'Pure Veg', 'Digital Payments Accepted']",14,104
Shree Sainath Corner,18.5347692032,73.8777210563,200,1,3.9,459,"South Indian, Maharashtrian","['No Alcohol Available', 'Delivery', 'Standing Tables', 'Cash', 'Takeaway Available', 'Digital Payments Accepted', 'Pure Veg', 'Free Parking']",8,1
Chop Chop - Wok to Go,18.5408391221,73.8911042735,700,2,3.6,891,"Chinese, Asian, Japanese","['No Seating Available', 'Dinner', 'Delivery', 'Lunch', 'Cash', 'Takeaway Available']",66,92
Best Belgian waffle,18.5410743490,73.8910891861,300,1,3.8,1037,"Desserts, Beverages","['Takeaway Available', 'Cash', 'Delivery', 'Desserts and Bakes', 'Indoor Seating']",59,23
The Cheesecake Pops,18.5410784814,73.8910891861,300,1,4.5,772,Desserts,"['Standing Tables', 'Delivery', 'Cash', 'Takeaway Available', 'Desserts and Bakes']",95,47
